#    row  column                    value
       1       1  -1.8490880360053566E-04
       2       2  -1.8490870372820021E-04
       2       3   1.3222913570727333E-10
       3       2   1.3222913570727333E-10
       3       3  -1.8490870770794616E-04
       4       4  -1.8490860650173023E-04
       4       5  -1.8515263745383587E-10
       4       6  -1.7184350801636153E-15
       5       4  -1.8515263745383587E-10
       5       5  -1.8490860913747021E-04
       5       6   1.8517023206758363E-10
       6       4  -1.7184350801636153E-15
       6       5   1.8517023206758363E-10
       6       6  -1.8490861437029705E-04
       7       7  -1.8490851192244775E-04
       7       8   2.2448184597818485E-10
       7       9  -3.7028925252136867E-15
       7      10   3.3397840654126007E-15
       8       7   2.2448184597818485E-10
       8       8  -1.8490851321464893E-04
       8       9  -2.5928325423599756E-10
       8      10  -4.5574481029999578E-15
       9       7  -3.7028925252136867E-15
       9       8  -2.5928325423599756E-10
       9       9  -1.8490851710486428E-04
       9      10   2.2452610445071960E-10
      10       7   3.3397840654126007E-15
      10       8  -4.5574481029999578E-15
      10       9   2.2452610445071960E-10
      10      10  -1.8490852359604959E-04
      11      11  -1.8490841999227543E-04
      11      12   2.5654998604156716E-10
      11      13  -6.0579736641867825E-15
      11      14   7.3949409534419777E-15
      11      15   1.2973199912248755E-15
      12      11   2.5654998604156716E-10
      12      12  -1.8490841994155845E-04
      12      13  -3.1435948540859111E-10
      12      14  -1.0036246762843845E-14
      12      15  -8.0710911038304480E-15
      13      11  -6.0579736641867825E-15
      13      12  -3.1435948540859111E-10
      13      13  -1.8490842248868299E-04
      13      14   3.1439106832511554E-10
      13      15  -8.9655501468012652E-15
      14      11   7.3949409534419777E-15
      14      12  -1.0036246762843845E-14
      14      13   3.1439106832511554E-10
      14      14  -1.8490842763937445E-04
      14      15  -2.5662920508299490E-10
      15      11   1.2973199912248755E-15
      15      12  -8.0710911038304480E-15
      15      13  -8.9655501468012652E-15
      15      14  -2.5662920508299490E-10
      15      15  -1.8490843539558280E-04
      16      16  -1.8490833071327297E-04
      16      17   2.8383167640050369E-10
      16      18  -8.8141288602072753E-15
      16      19   1.2542495370813943E-14
      16      20   2.4709733476438675E-15
      16      21   1.7508345858708449E-16
      17      16   2.8383167640050369E-10
      17      17  -1.8490832932019962E-04
      17      18  -3.5926758779875251E-10
      17      19  -1.6526390053295594E-14
      17      20  -1.7019001505416098E-14
      17      21   2.6520601247420996E-15
      18      16  -8.8141288602072753E-15
      18      17  -3.5926758779875251E-10
      18      18  -1.8490833052445434E-04
      18      19   3.8117350541584963E-10
      18      20  -1.9612396856352139E-14
      18      21   1.4891231291613392E-14
      19      16   1.2542495370813943E-14
      19      17  -1.6526390053295594E-14
      19      18   3.8117350541584963E-10
      19      19  -1.8490833433312286E-04
      19      20  -3.5934244145629612E-10
      19      21  -1.5461307594495785E-14
      20      16   2.4709733476438675E-15
      20      17  -1.7019001505416098E-14
      20      18  -1.9612396856352139E-14
      20      19  -3.5934244145629612E-10
      20      20  -1.8490834075120892E-04
      20      21   2.8395453390873239E-10
      21      16   1.7508345858708449E-16
      21      17   2.6520601247420996E-15
      21      18   1.4891231291613392E-14
      21      19  -1.5461307594495785E-14
      21      20   2.8395453390873239E-10
      21      21  -1.8490834978095527E-04
      22      22  -1.8490824408728840E-04
      22      23   3.0760524362784199E-10
      22      24   1.2059069967475291E-14
      22      25   1.8571424792833526E-14
      22      26  -3.6371707106253787E-15
      22      27   3.6440233748841438E-16
      22      28   1.2950956484692492E-17
      23      22   3.0760524362784199E-10
      23      23  -1.8490824135230247E-04
      23      24   3.9747276532790793E-10
      23      25  -2.3850724905747672E-14
      23      26   2.7904656670574028E-14
      23      27   5.0801404528559475E-15
      23      28   4.0902507413401341E-16
      24      22   1.2059069967475291E-14
      24      23   3.9747276532790793E-10
      24      24  -1.8490824121421542E-04
      24      25  -4.3562677979884622E-10
      24      26  -3.2153814934317070E-14
      24      27  -3.0339283590682735E-14
      24      28   4.1532049157025860E-15
      25      22   1.8571424792833526E-14
      25      23  -2.3850724905747672E-14
      25      24  -4.3562677979884622E-10
      25      25  -1.8490824368049254E-04
      25      26   4.3567298143159491E-10
      25      27  -3.3065457464707409E-14
