#    row  column                    value
       1       1  -1.0033078093274263E+01
       2       2  -8.8441851009710717E+01
       2       3  -2.7197979493514107E-01
       3       2  -2.7197979493514107E-01
       3       3   6.7570442095627840E+01
       4       4  -1.6683978462286575E+02
       4       5   3.8083721931068304E-01
       4       6   3.5347581429018550E-06
       5       4   3.8083721931068304E-01
       5       5  -1.0832976326930361E+01
       5       6  -3.8087340923072993E-01
       6       4   3.5347581429018550E-06
       6       5  -3.8087340923072993E-01
       6       6   1.4518451452322495E+02
       7       7  -2.4522687195452085E+02
       7       8  -4.6173278003174478E-01
       7       9   7.6162340494945776E-06
       7      10  -6.8694648872402196E-06
       8       7  -4.6173278003174478E-01
       8       8  -8.9225548905132058E+01
       8       9   5.3331518771012276E-01
       8      10   9.3739244302849690E-06
       9       7   7.6162340494945776E-06
       9       8   5.3331518771012276E-01
       9       9   6.6786464809059822E+01
       9      10  -4.6182381470405787E-01
      10       7  -6.8694648872402196E-06
      10       8   9.3739244302849690E-06
      10       9  -4.6182381470405787E-01
      10      10   2.2280917136452439E+02
      11      11  -3.2360310226789818E+02
      11      12  -5.2769317630610335E-01
      11      13   1.2460819861108295E-05
      11      14  -1.5210640333778468E-05
      11      15  -2.6682579090755075E-06
      12      11  -5.2769317630610335E-01
      12      12  -1.6760726389823049E+02
      12      13   6.4660052364785991E-01
      12      14   2.0643651141482522E-05
      12      15   1.6601537261486550E-05
      13      11   1.2460819861108295E-05
      13      12   6.4660052364785991E-01
      13      13  -1.1600733368526372E+01
      13      14  -6.4666548596913387E-01
      13      15   1.8441395057717054E-05
      14      11  -1.5210640333778468E-05
      14      12   2.0643651141482522E-05
      14      13  -6.4666548596913387E-01
      14      14   1.4441650533378152E+02
      14      15   5.2785612044523844E-01
      15      11  -2.6682579090755075E-06
      15      12   1.6601537261486550E-05
      15      13   1.8441395057717054E-05
      15      14   5.2785612044523844E-01
      15      15   3.0044445103770676E+02
      16      16  -4.0196846318937287E+02
      16      17  -5.8380840765560937E-01
      16      18   1.8129457141668773E-05
      16      19  -2.5798489502510404E-05
      16      20  -5.0827961379126650E-06
      16      21  -3.6017135575151592E-07
      17      16  -5.8380840765560937E-01
      17      17  -2.4597810982097312E+02
      17      18   7.3897121342588101E-01
      17      19   3.3993056767462975E-05
      17      20   3.5005945404039994E-05
      17      21  -5.4550131654364495E-06
      18      16   1.8129457141668773E-05
      18      17   7.3897121342588101E-01
      18      18  -8.9977064956258928E+01
      18      19  -7.8402911220711680E-01
      18      20   4.0340361888028106E-05
      18      21  -3.0629308972396903E-05
      19      16  -2.5798489502510404E-05
      19      17   3.3993056767462975E-05
      19      18  -7.8402911220711680E-01
      19      19   6.6034695600708702E+01
      19      20   7.3912517867987682E-01
      19      21   3.1802083956517382E-05
      20      16  -5.0827961379126650E-06
      20      17   3.5005945404039994E-05
      20      18   4.0340361888028106E-05
      20      19   7.3912517867987682E-01
      20      20   2.2205718276706489E+02
      20      21  -5.8406111101827329E-01
      21      16  -3.6017135575151592E-07
      21      17  -5.4550131654364495E-06
      21      18  -3.0629308972396903E-05
      21      19   3.1802083956517382E-05
      21      20  -5.8406111101827329E-01
      21      21   3.7809039752252687E+02
      22      22  -4.8032294224010730E+02
      22      23  -6.3270784183447148E-01
      22      24  -2.4804134611504616E-05
      22      25  -3.8199203497394762E-05
      22      26   7.4811786234191251E-06
      22      27  -7.4944290820774190E-07
      22      28  -2.6857766098076581E-08
      23      22  -6.3270784183447148E-01
      23      23  -3.2433807577180147E+02
      23      24  -8.1755477447571090E-01
      23      25   4.9058011088445046E-05
      23      26  -5.7396655144635696E-05
      23      27  -1.0449517306570123E-05
      23      28  -8.4114826606781763E-07
      24      22  -2.4804134611504616E-05
      24      23  -8.1755477447571090E-01
      24      24  -1.6834251770775342E+02
      24      25   8.9603309895189276E-01
      24      26   6.6136788967296000E-05
      24      27   6.2404440267925193E-05
      24      28  -8.5426532904522683E-06
      25      22  -3.8199203497394762E-05
      25      23   4.9058011088445046E-05
      25      24   8.9603309895189276E-01
      25      25  -1.2336240894158246E+01
      25      26  -8.9612813029486915E-01
      25      27   6.8011826999124478E-05
      25      28  -4.9189238433240599E-05
      26      22   7.4811786234191251E-06
      26      23  -5.7396655144635696E-05
      26      24   6.6136788967296000E-05
      26      25  -8.9612813029486915E-01
      26      26   1.4368077424316405E+02
      26      27   8.1782142115808909E-01
      26      28   5.0881128141475834E-05
      27      22  -7.4944290820774190E-07
      27      23  -1.0449517306570123E-05
      27      24   6.2404440267925193E-05
      27      25   6.8011826999124478E-05
      27      26   8.1782142115808909E-01
      27      27   2.9970853823286473E+02
      27      28  -6.3306995557202650E-01
      28      22  -2.6857766098076581E-08
      28      23  -8.4114826606781763E-07
      28      24  -8.5426532904522683E-06
      28      25  -4.9189238433240599E-05
      28      26   5.0881128141475834E-05
      28      27  -6.3306995557202650E-01
      28      28   4.5574705946111612E+02
      29      29  -5.5866652792284640E+02
      29      30   6.7596237034835627E-01
      29      31   3.2667005487590428E-05
      29      32  -5.1904852293018729E-05
      29      33  -9.7020410029962182E-06
      29      34  -1.1783720561187090E-06
      29      35   6.4986494606936736E-08
      29      36  -2.1489926557872547E-09
      30      29   6.7596237034835627E-01
      30      30  -4.0268715188248444E+02
      30      31  -8.8603306820539685E-01
      30      32  -6.5811153646380487E-05
      30      33  -8.2986282852724906E-05
      30      34   1.5468870121150274E-05
      30      35  -1.7531994278472156E-06
      30      36  -7.4438739478922727E-08
      31      29   3.2667005487590428E-05
      31      30  -8.8603306820539685E-01
      31      31  -2.4669708181037606E+02
      31      32  -9.9131934071703010E-01
      31      33   9.4765225446759993E-05
      31      34  -9.9709963945812010E-05
      31      35  -1.6463026360016483E-05
      31      36  -1.4826388125393755E-06
      32      29  -5.1904852293018729E-05
      32      30  -6.5811153646380487E-05
      32      31  -9.9131934071703010E-01
      32      32  -9.0696291558145305E+01
      32      33   1.0241456288339659E+00
      32      34   1.1018333928199421E-04
      32      35   9.7775111835487463E-05
      32      36  -1.1665719585454283E-05
      33      29  -9.7020410029962182E-06
      33      30  -8.2986282852724906E-05
      33      31   9.4765225446759993E-05
      33      32   1.0241456288339659E+00
      33      33   6.5315243333171011E+01
      33      34  -9.9153737950022780E-01
      33      35   1.0549655519264139E-04
      33      36  -7.2296693346411359E-05
      34      29  -1.1783720561187090E-06
      34      30   1.5468870121150274E-05
      34      31  -9.9709963945812010E-05
      34      32   1.1018333928199421E-04
      34      33  -9.9153737950022780E-01
      34      34   2.2133754085125332E+02
      34      35   8.8643751892458600E-01
      34      36   7.7366486251151314E-05
      35      29   6.4986494606936736E-08
      35      30  -1.7531994278472156E-06
      35      31  -1.6463026360016483E-05
      35      32   9.7775111835487463E-05
      35      33   1.0549655519264139E-04
      35      34   8.8643751892458600E-01
      35      35   3.7737061570006949E+02
      35      36  -6.7645565942817065E-01
      36      29  -2.1489926557872547E-09
      36      30  -7.4438739478922727E-08
      36      31  -1.4826388125393755E-06
      36      32  -1.1665719585454283E-05
      36      33  -7.2296693346411359E-05
      36      34   7.7366486251151314E-05
      36      35  -6.7645565942817065E-01
      36      36   5.3341448913896977E+02
      37      37  -6.3699921046554118E+02
      37      38  -7.1459963764256784E-01
      37      39   4.1821472589800841E-05
      37      40  -6.6402761665978530E-05
      37      41  -1.1655818284871783E-05
      37      42  -1.6032478894625932E-06
      37      43  -1.1393656397812358E-07
      37      44  -1.2354327535354152E-09
      37      45  -2.1201986113052786E-09
      38      37  -7.1459963764256784E-01
      38      38  -4.8102532973672146E+02
      38      39   9.4660583347442584E-01
      38      40   8.4351734041617629E-05
      38      41   1.1086822661838544E-04
      38      42  -2.0173024755586356E-05
      38      43  -2.7689215429075779E-06
      38      44   1.7390582730865680E-07
      38      45  -7.2984028345081506E-10
      39      37   4.1821472589800841E-05
      39      38   9.4660583347442584E-01
      39      39  -3.2504074963678977E+02
      39      40  -1.0743518871044191E+00
      39      41   1.2574374824314647E-04
      39      42  -1.4138951535074467E-04
      39      43   2.4520684085933244E-05
      39      44  -3.1021891403893519E-06
      39      45  -1.4792926700118499E-07
      40      37  -6.6402761665978530E-05
      40      38   8.4351734041617629E-05
      40      39  -1.0743518871044191E+00
      40      40  -1.6904544751120545E+02
      40      41   1.1330547087990925E+00
      40      42   1.5642353180986932E-04
      40      43  -1.5315781285286557E-04
      40      44  -2.2624548755074725E-05
      40      45  -2.2611041519953897E-06
      41      37  -1.1655818284871783E-05
      41      38   1.1086822661838544E-04
      41      39   1.2574374824314647E-04
      41      40   1.1330547087990925E+00
      41      41  -1.3039397488897187E+01
      41      42  -1.1331815999440185E+00
      41      43  -1.6803843954187964E-04
      41      44  -1.4113405038076256E-04
      41      45   1.4571355650029377E-05
      42      37  -1.6032478894625932E-06
      42      38  -2.0173024755586356E-05
      42      39  -1.4138951535074467E-04
      42      40   1.5642353180986932E-04
      42      41  -1.1331815999440185E+00
      42      42   1.4297742345875596E+02
      42      43  -1.0747214657953132E+00
      42      44   1.5504199901910892E-04
      42      45  -9.9777831322425724E-05
      43      37  -1.1393656397812358E-07
      43      38  -2.7689215429075779E-06
      43      39   2.4520684085933244E-05
      43      40  -1.5315781285286557E-04
      43      41  -1.6803843954187964E-04
      43      42  -1.0747214657953132E+00
      43      43   2.9900503525336649E+02
      43      44   9.4717538197984219E-01
      43      45   1.1310672088955947E-04
      44      37  -1.2354327535354152E-09
      44      38   1.7390582730865680E-07
      44      39  -3.1021891403893519E-06
      44      40  -2.2624548755074725E-05
      44      41  -1.4113405038076256E-04
      44      42   1.5504199901910892E-04
      44      43   9.4717538197984219E-01
      44      44   4.5504346130629364E+02
      44      45  -7.1524777548189011E-01
      45      37  -2.1201986113052786E-09
      45      38  -7.2984028345081506E-10
      45      39  -1.4792926700118499E-07
      45      40  -2.2611041519953897E-06
      45      41   1.4571355650029377E-05
      45      42  -9.9777831322425724E-05
      45      43   1.1310672088955947E-04
      45      44  -7.1524777548189011E-01
      45      45   6.1109274141071046E+02
      46      46  -7.1532098229519897E+02
      46      47  -7.4933500447712087E-01
      46      48  -5.2249762739925657E-05
      46      49  -8.1215421728755353E-05
      46      50   1.3315365690877833E-05
      46      51  -1.9874135202330782E-06
      46      52  -1.6869463443202620E-07
      46      53   1.7037814676906505E-09
      46      54  -3.6692016356096160E-09
      46      55  -1.1130636003536716E-09
      47      46  -7.4933500447712087E-01
      47      47  -5.5935260269424759E+02
      47      48  -1.0007121641891024E+00
      47      49   1.0475538871455803E-04
      47      50  -1.4013438676715507E-04
      47      51  -2.4362172068216143E-05
      47      52  -3.7892023249898008E-06
      47      53   2.9995585018934328E-07
      47      54   3.6494856835127595E-09
      47      55  -3.7627629325156609E-09
      48      46  -5.2249762739925657E-05
      48      47  -1.0007121641891024E+00
      48      48  -4.0337351558850440E+02
      48      49   1.1477978249264347E+00
      48      50   1.5890567170897911E-04
      48      51   1.8615897393662443E-04
      48      52  -3.2168253757428516E-05
      48      53   4.9256891043668360E-06
      48      54   3.4057792835220837E-07
      48      55   3.9947070266473286E-09
      49      46  -8.1215421728755353E-05
      49      47   1.0475538871455803E-04
      49      48   1.1477978249264347E+00
      49      49  -2.4738370296136975E+02
      49      50  -1.2279572857771366E+00
      49      51   2.0563434397313701E-04
      49      52  -2.1378053342503602E-04
      49      53  -3.3913769179371325E-05
      49      54  -4.7530362886470277E-06
      49      55  -2.4780908220279144E-07
      50      46   1.3315365690877833E-05
      50      47  -1.4013438676715507E-04
      50      48   1.5890567170897911E-04
      50      49  -1.2279572857771366E+00
      50      50  -9.1383140274090493E+01
      50      51   1.2536824434836045E+00
      50      52   2.3581232974161919E-04
      50      53   2.1772452279106489E-04
      50      54  -2.8450081483782402E-05
      50      55  -3.1440747054318396E-06
      51      46  -1.9874135202330782E-06
      51      47  -2.4362172068216143E-05
      51      48   1.8615897393662443E-04
      51      49   2.0563434397313701E-04
      51      50   1.2536824434836045E+00
      51      51   6.4628197990883109E+01
      51      52  -1.2282423057360063E+00
      51      53   2.4210702316007572E-04
      51      54  -1.9219826990639227E-04
      51      55   1.7035950614084827E-05
      52      46  -1.6869463443202620E-07
      52      47  -3.7892023249898008E-06
      52      48  -3.2168253757428516E-05
      52      49  -2.1378053342503602E-04
      52      50   2.3581232974161919E-04
      52      51  -1.2282423057360063E+00
      52      52   2.2065033567945090E+02
      52      53   1.1483492036614655E+00
      52      54   2.1916858734108945E-04
      52      55  -1.3128987661810117E-04
      53      46   1.7037814676906505E-09
      53      47   2.9995585018934328E-07
      53      48   4.9256891043668360E-06
      53      49  -3.3913769179371325E-05
      53      50   2.1772452279106489E-04
      53      51   2.4210702316007572E-04
      53      52   1.1483492036614655E+00
      53      53   3.7668329835085524E+02
      53      54  -1.0014763000400089E+00
      53      55  -1.6000952430775267E-04
      54      46  -3.6692016356096160E-09
      54      47   3.6494856835127595E-09
      54      48   3.4057792835220837E-07
      54      49  -4.7530362886470277E-06
      54      50  -2.8450081483782402E-05
      54      51  -1.9219826990639227E-04
      54      52   2.1916858734108945E-04
      54      53  -1.0014763000400089E+00
      54      54   5.3272712269799479E+02
      54      55  -7.5016295939913513E-01
      55      46  -1.1130636003536716E-09
      55      47  -3.7627629325156609E-09
      55      48   3.9947070266473286E-09
      55      49  -2.4780908220279144E-07
      55      50  -3.1440747054318396E-06
      55      51   1.7035950614084827E-05
      55      52  -1.3128987661810117E-04
      55      53  -1.6000952430775267E-04
      55      54  -7.5016295939913513E-01
      55      55   6.8878187261336234E+02
      56      56  -7.9363183829778654E+02
      56      57  -7.8068942353349657E-01
      56      58   6.3799483159002502E-05
      56      59  -9.5925657351358704E-05
      56      60  -1.4699769485159657E-05
      56      61  -2.3042678602750248E-06
      56      62   2.2338339198244982E-07
      56      63   6.1257528950427458E-09
      56      64  -3.8978959206339380E-09
      56      65   2.3435871883976120E-09
      56      66   6.5305847793880505E-10
      57      56  -7.8068942353349657E-01
      57      57  -6.3766896610302570E+02
      57      58   1.0493538986668034E+00
      57      59   1.2698353323843686E-04
      57      60   1.6993289344011722E-04
      57      61  -2.7959209131483362E-05
      57      62   4.7301000905191007E-06
      57      63   4.4126053097526218E-07
      57      64   1.1534067951923144E-08
      57      65   5.5142233112436980E-09
      57      66   2.5009254941484848E-09
