#    row  column                    value
       1       2  -5.5947426798532024E+02
       1       3   5.5465666288153750E+02
       2       4  -7.8336651683486673E+02
       2       5  -5.5471371577416687E+02
       2       6  -1.6891649770665382E-04
       3       4  -3.8382996188013292E-04
       3       5   5.5941698973760674E+02
       3       6  -7.7672741535320131E+02
       4       7   9.4971572522041231E+02
       4       8  -5.5477076535511935E+02
       4       9   2.0383877506001646E-04
       4      10   5.1232709926311036E-05
       5       7  -7.3455700111742358E-04
       5       8  -7.8328629335971186E+02
       5       9  -7.7680738759123994E+02
       5      10  -1.3218906331965660E-04
       6       7   4.3366671770299508E-05
       6       8  -5.6210572366825577E-04
       6       9   5.5935970971508505E+02
       6      10  -9.4179602828637985E+02
       7      11   1.0853142475679540E+03
       7      12  -5.5482781517663716E+02
       7      13   2.0914233577384574E-04
       7      14   8.5053238064023993E-05
       7      15   4.7880654960471426E-06
       8      11   1.1809723369257564E-03
       8      12   9.4961840362091141E+02
       8      13   7.7688734428859811E+02
       8      14   1.3362677084975702E-04
       8      15  -1.1578686207290791E-04
       9      11   1.1601017002961546E-04
       9      12  -1.1041648888472639E-03
       9      13   7.8320606290972307E+02
       9      14  -9.4189309367408407E+02
       9      15  -6.7313708601331878E-05
      10      11  -1.7061092143706627E-05
      10      12   8.8657813863147775E-05
      10      13   7.0829699251671256E-04
      10      14   5.5930243569984543E+02
      10      15   1.0764117511265963E+03
      11      16  -1.2006286859519282E+03
      11      17   5.5488486443492081E+02
      11      18  -2.0204788480703830E-04
      11      19  -1.1518925540343066E-04
      11      20  -8.5801590207632585E-06
      11      21  -8.0847511168416831E-07
      12      16  -1.7357663714649442E-03
      12      17  -1.0852029473880471E+03
      12      18  -7.7696729116003780E+02
      12      19  -1.0024623350743747E-04
      12      20   1.9169765534699903E-04
      12      21  -8.7447965715470283E-06
      13      16  -2.1181509691574341E-04
      13      17   1.7744042977055772E-03
      13      18  -9.4952108343927466E+02
      13      19   9.4199013012862861E+02
      13      20   1.5768164468583958E-04
      13      21  -2.0021096438796031E-04
      14      16   2.9609075239046541E-05
      14      17  -2.1443348995267461E-04
      14      18  -1.4176260283136823E-03
      14      19  -7.8312583548254304E+02
      14      20  -1.0765228028616109E+03
      14      21   4.4393562108164175E-04
      15      16  -1.8980258675084588E-06
      15      17  -3.0564209417556566E-05
      15      18  -1.4240266983673152E-04
      15      19   8.3737619997102826E-04
      15      20  -5.5924517488395043E+02
      15      21   1.1909443306137439E+03
      16      22  -1.3010655689402913E+03
      16      23   5.5494191063616302E+02
      16      24   1.9098341320385913E-04
      16      25  -1.4247957089465703E-04
      16      26   1.1427570024100139E-05
      16      27  -2.2907786659423315E-06
      16      28   2.6303762171298538E-07
      17      22  -2.3945276588156531E-03
      17      23  -1.2005054724249212E+03
      17      24   7.7704723031854235E+02
      17      25  -5.2054630539532554E-05
      17      26  -2.5652607946422793E-04
      17      27  -1.3674213489496230E-05
      17      28  -2.7222853559900385E-06
      18      22  -3.2242417720576897E-04
      18      23   2.5826971204858653E-03
      18      24   1.0850916636286026E+03
      18      25   9.4208714208712365E+02
      18      26  -2.6343353230290356E-04
      18      27  -3.2674182960509580E-04
      18      28   1.0203555039214415E-05
      19      22   4.1150756324229100E-05
      19      23  -3.7698783466134309E-04
      19      24   2.2809950127193517E-03
      19      25  -9.4942377196064945E+02
      19      26   1.0766338071412426E+03
      19      27   6.8126749759127791E-04
      19      28  -2.9929418505804042E-04
      20      22  -2.8011141984709975E-06
      20      23  -5.5249667185341580E-05
      20      24   3.2217102984880035E-04
      20      25   1.6968201338360962E-03
      20      26   7.8304562223966059E+02
      20      27   1.1910673140639665E+03
      20      28  -1.0044371830353373E-03
      21      22  -4.4056834396309282E-07
      21      23  -3.2875825862863024E-06
      21      24  -4.3638530766401985E-05
      21      25  -2.0297047579965924E-04
      21      26   9.5299747336731824E-04
      21      27  -5.5918793515204982E+02
      21      28   1.2907492445514436E+03
      22      29  -1.3898557970711497E+03
      22      30  -5.5499895074311257E+02
      22      31  -1.8054187276393447E-04
      22      32  -1.6692375975138149E-04
      22      33  -1.2714023052450437E-05
      22      34  -4.1735716065144902E-06
      22      35  -1.6912293864233029E-07
      22      36  -2.0454081745672962E-07
      23      29  -3.1438656753933550E-03
      23      30   1.3009319683963440E+03
      23      31  -7.7712716092391611E+02
      23      32  -1.7662441332632356E-06
      23      33   3.1146855586118073E-04
      23      34  -1.6414481686684401E-05
      23      35   5.8069092913523828E-06
      23      36  -9.2109936897998141E-08
      24      29   4.4094227396034193E-04
      24      30   3.5215804737866014E-03
      24      31   1.2003822922009797E+03
      24      32  -9.4218413267693131E+02
      24      33  -3.7266517438207486E-04
      24      34   4.3181431478652739E-04
      24      35   1.4186017228090507E-05
      24      36   5.2567297855329251E-06
      25      29   5.1826251494400759E-05
      25      30   5.6404970187521231E-04
      25      31  -3.2983313300919376E-03
      25      32  -1.0849804016842886E+03
      25      33  -1.0767447685720917E+03
      25      34   8.8909516890423718E-04
      25      35   4.8171376912106115E-04
      25      36  -7.6244116801758815E-06
      26      29   3.3188265413575804E-06
      26      30  -7.8421335197870017E-05
      26      31   5.4793941892966797E-04
      26      32  -2.7333712416987856E-03
      26      33   9.4932647991937301E+02
      26      34  -1.1911902266980110E+03
      26      35  -1.4393796997091181E-03
      26      36   4.0581110179460362E-04
      27      29  -5.0524866952083769E-07
      27      30   5.5345147526226965E-06
      27      31   8.1034094954020108E-05
      27      32  -4.3884851796765736E-04
      27      33  -1.9474988311484313E-03
      27      34  -7.8296543460751184E+02
      27      35  -1.2908826391755701E+03
      27      36   1.7459657866070811E-03
      28      29  -1.9336557674074361E-07
      28      30   6.3070913471640262E-07
      28      31   4.5936739210732314E-06
      28      32   5.6201488610493150E-05
      28      33   2.6914360129267164E-04
      28      34  -1.0555074327784531E-03
      28      35   5.5913072525199311E+02
      28      36  -1.3790262226002405E+03
      29      37   1.4691143037396594E+03
      29      38  -5.5505598168909148E+02
      29      39   1.7342686918188658E-04
      29      40   1.8808845280174878E-04
      29      41   1.2169681170372499E-05
      29      42   6.0888743701502503E-06
      29      43   1.8318080330006812E-07
      29      44   2.9663625583493939E-07
      29      45   9.0209158028668149E-08
      30      37  -3.9656433434814686E-03
      30      38  -1.3897130162745655E+03
      30      39  -7.7720708022999247E+02
      30      40   4.2159411021757185E-05
      30      41   3.5714441251698487E-04
      30      42  -1.6569805441248731E-05
      30      43  -9.3412879737092598E-06
      30      44   2.3083193933801948E-07
      30      45  -2.8684100179108438E-07
      31      37   5.6196402437737097E-04
      31      38  -4.5733902874229588E-03
      31      39   1.3007984176782759E+03
      31      40  -9.4228110282461716E+02
      31      41  -4.7436614068916018E-04
      31      42   5.1759667857877959E-04
      31      43  -1.4581739591441224E-05
      31      44   1.0256301392855888E-05
      31      45   4.0148085974948362E-07
      32      37  -6.1737733855951696E-05
      32      38   7.6434413867447677E-04
      32      39   4.4561759943745668E-03
      32      40   1.2002591508251642E+03
      32      41   1.0768556909041217E+03
      32      42  -1.0741563267815705E-03
      32      43   6.2971495493620798E-04
      32      44   8.0842606614991372E-06
      32      45   7.8700250685566234E-06
      33      37   3.6775660885712847E-06
      33      38   9.9566063062258027E-05
      33      39   8.0526732989715552E-04
      33      40  -3.9343060491873237E-03
      33      41   1.0848691703210436E+03
      33      42  -1.1913130753265070E+03
      33      43   1.7744063054951627E-03
      33      44   6.4632982980199866E-04
      33      45  -3.3955115833741786E-07
      34      37   3.2514679501347967E-07
      34      38   7.3102461097612922E-06
      34      39  -1.1697346388506101E-04
      34      40   7.2621364706737838E-04
      34      41   3.1393965421844848E-03
      34      42   9.4922921938347872E+02
      34      43  -1.2910159378058047E+03
      34      44  -2.4246720385052555E-03
      34      45   5.1199513278557085E-04
      35      37  -2.7269300912173785E-07
      35      38  -7.8555263732849926E-07
      35      39   8.5423333358387276E-06
      35      40   1.0606308476259257E-04
      35      41   5.6322335962377039E-04
      35      42  -2.1709403093605997E-03
      35      43  -7.8288528406974149E+02
      35      44  -1.3791688199204270E+03
      35      45   2.6566798783328538E-03
      36      37  -7.8096431150992968E-08
      36      38  -3.0908223684014829E-07
      36      39   6.4030919781226557E-07
      36      40   5.9656802530856831E-06
      36      41  -6.8102897444161485E-05
      36      42   3.4017417172118843E-04
      36      43  -1.1446643755230147E-03
      36      44   5.5907355439084051E+02
      36      45  -1.4578693119297882E+03
      37      46   1.5403148310017150E+03
      37      47  -5.5511300056765685E+02
      37      48  -1.7138243473601474E-04
      37      49   2.0540310593219750E-04
      37      50  -9.8529111251128313E-06
      37      51   7.7313073409521615E-06
      37      52   7.1110945285008178E-07
      37      53   2.9844354023182682E-07
      37      54   1.5059219167021019E-07
      37      55   3.3903566883082720E-08
      38      46   4.8396374238666353E-03
      38      47   1.4689633408819413E+03
      38      48  -7.7728698453390916E+02
      38      49  -7.4330837612587256E-05
      38      50   3.9389501025158166E-04
      38      51   1.3944440038671600E-05
      38      52   1.2871704853650123E-05
      38      53  -9.4104466041212439E-07
      38      54   4.3405443063979414E-07
      38      55   1.5142167193999642E-07
      39      46   6.8142841213572017E-04
      39      47  -5.7146929906065590E-03
      39      48  -1.3895703004844477E+03
      39      49  -9.4237805142718923E+02
      39      50   5.5954355852178819E-04
      39      51   5.8548946903486023E-04
      39      52  -1.1442231341904692E-05
      39      53   1.5556964188936315E-05
      39      54   1.1450870554179710E-06
      39      55  -2.6308767914006627E-07
      40      46  -7.0971937097984695E-05
      40      47   9.6868411947710121E-04
      40      48  -5.7332034864223435E-03
      40      49   1.3006649236131711E+03
      40      50  -1.0769665765025313E+03
      40      51  -1.2328641181754421E-03
      40      52   7.4746726693197959E-04
      40      53   3.7749770937575262E-06
      40      54   1.4922021230017004E-05
