#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  1.61433183805251615E-03  1.41464234355096195E-09  3.58723867634271852E-12
  4.84299551415754825E-03  1.27314514372968392E-08  9.68545972535935211E-11
  8.07165919026258012E-03  3.53633114909272999E-08  4.48393070610879258E-10
  1.13003228663676129E-02  6.93067063535270862E-08  1.23035830604817026E-09
  1.45289865424726456E-02  1.14556362090735241E-07  2.61486830852451804E-09
  1.77576502185776766E-02  1.71105247335143083E-07  4.77398838669994727E-09
  2.09863138946827094E-02  2.38944573753463877E-07  7.87971610195544065E-09
  2.42149775707877386E-02  3.18063796630449464E-07  1.21039662212416337E-08
  2.74436412468927714E-02  4.08450615569526202E-07  1.76185556746067326E-08
  3.06723049229978041E-02  5.10090975310113135E-07  2.45951885182538297E-08
  3.39009685991028403E-02  6.22969066661579450E-07  3.32054409039776420E-08
  3.71296322752078661E-02  7.47067327553797841E-07  4.36207460558302799E-08
  4.03582959513129058E-02  8.82366444204236634E-07  5.60123792548656135E-08
  4.35869596274179316E-02  1.02884535240153277E-06  7.05514428328107309E-08
  4.68156233035229644E-02  1.18648123890547919E-06  8.74088511755135390E-08
  5.00442869796279971E-02  1.35524954296335757E-06  1.06755315737014164E-07
  5.32729506557330368E-02  1.53512395794253941E-06  1.28761330065088080E-07
  5.65016143318380626E-02  1.72607643307926602E-06  1.53597154839107470E-07
  5.97302780079430884E-02  1.92807717534353254E-06  1.81432802921068263E-07
  6.29589416840481281E-02  2.14109465141996095E-06  2.12438024420627026E-07
  6.61876053601531539E-02  2.36509558980458009E-06  2.46782291774994426E-07
  6.94162690362581936E-02  2.60004498301739965E-06  2.84634784844529400E-07
  7.26449327123632332E-02  2.84590608993065977E-06  3.26164376024877036E-07
  7.58735963884682590E-02  3.10264043821264179E-06  3.71539615376493423E-07
  7.91022600645732848E-02  3.37020782688691904E-06  4.20928715772399758E-07
  8.23309237406783107E-02  3.64856632900692263E-06  4.74499538065007964E-07
  8.55595874167833503E-02  3.93767229444565716E-06  5.32419576272855196E-07
