#             freq. [MHz]    Abs(ampl) [arb.units]
 -1.54858407079646015E+05  1.06318426604714837E-23
 -1.54849557522123883E+05  1.13397059698057366E-23
 -1.54840707964601781E+05  1.03067037568056761E-23
 -1.54831858407079650E+05  7.84389347223656984E-24
 -1.54823008849557518E+05  4.69286546202933916E-24
 -1.54814159292035387E+05  1.80238194483487286E-24
 -1.54805309734513285E+05  4.28200588034806279E-26
 -1.54796460176991153E+05  5.60104334649966271E-26
 -1.54787610619469022E+05  1.53561417296899053E-24
 -1.54778761061946891E+05  4.33848383137859285E-24
 -1.54769911504424788E+05  7.50858062585960095E-24
 -1.54761061946902657E+05  1.00914094169600164E-23
 -1.54752212389380526E+05  1.13091875727862876E-23
 -1.54743362831858394E+05  1.07952929239851986E-23
 -1.54734513274336292E+05  8.70442668957320774E-24
 -1.54725663716814161E+05  5.66622302950753043E-24
 -1.54716814159292029E+05  2.59547227132334123E-24
 -1.54707964601769898E+05  4.16792107675754837E-25
 -1.54699115044247796E+05  2.13759642500344042E-25
 -1.54690265486725664E+05  8.93618661761070592E-25
 -1.54681415929203533E+05  3.40558998655449190E-24
 -1.54672566371681402E+05  6.56565689251336721E-24
 -1.54663716814159299E+05  9.42236158303176163E-24
 -1.54654867256637168E+05  1.11155124766359272E-23
 -1.54646017699115037E+05  1.11352943714819742E-23
 -1.54637168141592905E+05  9.47571682083110475E-24
 -1.54628318584070803E+05  6.63652920622610221E-24
 -1.54619469026548672E+05  3.47259008712441103E-24
 -1.54610619469026540E+05  9.36666181728465503E-25
 -1.54601769911504409E+05  2.07678975801311403E-25
 -1.54592920353982307E+05  3.84069125285013257E-25
 -1.54584070796460175E+05  2.53378215426167369E-24
 -1.54575221238938044E+05  5.59414379268796818E-24
 -1.54566371681415912E+05  8.64367610915138549E-24
 -1.54557522123893810E+05  1.07641320547465359E-23
 -1.54548672566371679E+05  1.13170027597945977E-23
 -1.54539823008849547E+05  1.01357969298567054E-23
 -1.54530973451327416E+05  7.57627160145546911E-24
 -1.54522123893805314E+05  4.40901757125164732E-24
 -1.54513274336283182E+05  1.58777744374258305E-24
 -1.54504424778761051E+05  3.79721941906659431E-26
 -1.54495575221238949E+05  2.13264008102998248E-26
 -1.54486725663716818E+05  1.74784223106759442E-24
 -1.54477876106194686E+05  4.62163151881151041E-24
 -1.54469026548672555E+05  7.77744132198230231E-24
 -1.54460176991150453E+05  1.02649929429610721E-23
 -1.54451327433628321E+05  1.13352969893073963E-23
 -1.54442477876106190E+05  1.06660355866121346E-23
 -1.54433628318584058E+05  8.45876733907204379E-24
 -1.54424778761061956E+05  5.37807021426196320E-24
 -1.54415929203539825E+05  2.35161307716439732E-24
 -1.54407079646017693E+05  2.90678376167319920E-25
 -1.54398230088495562E+05  1.84186166748631882E-25
 -1.54389380530973460E+05  1.07005981664582975E-24
 -1.54380530973451328E+05  3.67572028295380816E-24
 -1.54371681415929197E+05  6.84821700119825062E-24
 -1.54362831858407066E+05  9.63228236182509728E-24
 -1.54353982300884963E+05  1.11896372582902817E-23
 -1.54345132743362832E+05  1.10513087569833010E-23
 -1.54336283185840701E+05  9.25895019907139893E-24
 -1.54327433628318569E+05  6.35226371665893793E-24
 -1.54318584070796467E+05  3.20648667467780115E-24
 -1.54309734513274336E+05  7.68836441079463454E-25
 -1.54300884955752204E+05  2.26687529039775228E-25
 -1.54292035398230073E+05  5.19647138507784959E-25
 -1.54283185840707971E+05  2.78321175087983547E-24
 -1.54274336283185839E+05  5.88237711973786030E-24
 -1.54265486725663708E+05  8.88396387600944170E-24
 -1.54256637168141577E+05  1.08841845220933263E-23
 -1.54247787610619474E+05  1.12807179947320644E-23
 -1.54238938053097343E+05  9.95423470979681586E-24
 -1.54230088495575212E+05  7.30402462113060478E-24
 -1.54221238938053080E+05  4.12820273582415689E-24
 -1.54212389380530978E+05  1.38295064850523798E-24
 -1.54203539823008847E+05  1.05035527407257485E-25
 -1.54194690265486715E+05  1.12275804466870921E-25
 -1.54185840707964613E+05  1.96945764108736597E-24
 -1.54176991150442482E+05  4.90729011292380644E-24
 -1.54168141592920350E+05  8.04123472175315471E-24
 -1.54159292035398219E+05  1.04275819534400093E-23
 -1.54150442477876117E+05  1.13477506347618097E-23
 -1.54141592920353985E+05  1.05247421176003730E-23
 -1.54132743362831854E+05  8.20634016415499532E-24
 -1.54123893805309723E+05  5.09053931619170884E-24
 -1.54115044247787620E+05  2.11570058575684342E-24
 -1.54106194690265489E+05  1.77395853595785964E-25
 -1.54097345132743358E+05  1.40543617677434705E-25
 -1.54088495575221226E+05  1.25755665562509513E-24
 -1.54079646017699124E+05  3.95065981312053112E-24
 -1.54070796460176993E+05  7.12799953859144748E-24
 -1.54061946902654861E+05  9.83276822719821907E-24
 -1.54053097345132730E+05  1.12505393457799120E-23
 -1.54044247787610628E+05  1.09544012541591548E-23
 -1.54035398230088496E+05  9.03353232214550496E-24
 -1.54026548672566365E+05  6.06636105594742168E-24
 -1.54017699115044234E+05  2.94618726925048534E-24
 -1.54008849557522131E+05  6.12698982867649363E-25
 -1.54000000000000000E+05  2.31633346065657448E-25
 -1.53991150442477869E+05  6.67643739716559982E-25
 -1.53982300884955737E+05  3.03962301721264333E-24
 -1.53973451327433635E+05  6.17014354603500298E-24
