#    row  column                    value
       1       1   2.4390030148180602E-09
       2       2   2.5388753504938690E-09
       2       3  -1.3222913578876807E-10
       3       2  -1.3222913578876807E-10
       3       3   2.5348956044990749E-09
       4       4   2.6361018200360041E-09
       4       5  -1.8515263744630338E-10
       4       6  -1.7184762984063426E-15
       5       4  -1.8515263744630338E-10
       5       5   2.6334660800972954E-09
       5       6   1.8517023199856220E-10
       6       4  -1.7184762984063426E-15
       6       5   1.8517023199856220E-10
       6       6   2.6282332531518277E-09
       7       7   2.7306811025826620E-09
       7       8   2.2448184588537911E-10
       7       9  -3.7028700213808294E-15
       7      10   3.3396996058814912E-15
       8       7   2.2448184588537911E-10
       8       8   2.7293889013778967E-09
       8       9  -2.5928325424181538E-10
       8      10  -4.5574047259488863E-15
       9       7  -3.7028700213808294E-15
       9       8  -2.5928325424181538E-10
       9       9   2.7254986862263891E-09
       9      10   2.2452610444578782E-10
      10       7   3.3396996058814912E-15
      10       8  -4.5574047259488863E-15
      10       9   2.2452610444578782E-10
      10      10   2.7190075008196418E-09
      11      11   2.8226112746432035E-09
      11      12   2.5654998620046375E-10
      11      13  -6.0581282514697725E-15
      11      14   7.3950637816158735E-15
      11      15   1.2972138759961522E-15
      12      11   2.5654998620046375E-10
      12      12   2.8226619919010743E-09
      12      13  -3.1435948543670547E-10
      12      14  -1.0036389262109694E-14
      12      15  -8.0712870005548177E-15
      13      11  -6.0581282514697725E-15
      13      12  -3.1435948543670547E-10
      13      13   2.8201148672369815E-09
      13      14   3.1439106832531174E-10
      13      15  -8.9657378967548053E-15
      14      11   7.3950637816158735E-15
      14      12  -1.0036389262109694E-14
      14      13   3.1439106832531174E-10
      14      14   2.8149641758457401E-09
      14      15  -2.5662920516809488E-10
      15      11   1.2972138759961522E-15
      15      12  -8.0712870005548177E-15
      15      13  -8.9657378967548053E-15
      15      14  -2.5662920516809488E-10
      15      15   2.8072079673109911E-09
      16      16   2.9118902774009881E-09
      16      17   2.8383167644852297E-10
      16      18  -8.8140178862945499E-15
      16      19   1.2542501758150612E-14
      16      20   2.4711204002902729E-15
      16      21   1.7511207787137801E-16
      17      16   2.8383167644852297E-10
      17      17   2.9132833505649204E-09
      17      18  -3.5926758781230881E-10
      17      19  -1.6526466557653977E-14
      17      20  -1.7018906972432840E-14
      17      21   2.6520792535897991E-15
      18      16  -8.8140178862945499E-15
      18      17  -3.5926758781230881E-10
      18      18   2.9120790959529902E-09
      18      19   3.8117350554477664E-10
      18      20  -1.9612354136166707E-14
      18      21   1.4891121181292044E-14
      19      16   1.2542501758150612E-14
      19      17  -1.6526466557653977E-14
      19      18   3.8117350554477664E-10
      19      19   2.9082704273991779E-09
      19      20  -3.5934244147989331E-10
      19      21  -1.5461287956491878E-14
      20      16   2.4711204002902729E-15
      20      17  -1.7018906972432840E-14
      20      18  -1.9612354136166707E-14
      20      19  -3.5934244147989331E-10
      20      20   2.9018523413693540E-09
      20      21   2.8395453388124497E-10
      21      16   1.7511207787137801E-16
      21      17   2.6520792535897991E-15
      21      18   1.4891121181292044E-14
      21      19  -1.5461287956491878E-14
      21      20   2.8395453388124497E-10
      21      21   2.8928225949204918E-09
      22      22   2.9985162617633716E-09
      22      23   3.0760524360179211E-10
      22      24   1.2059107486291616E-14
      22      25   1.8571441426664751E-14
      22      26  -3.6371679672447592E-15
      22      27   3.6434907366410391E-16
      22      28   1.2997982248858983E-17
      23      22   3.0760524360179211E-10
      23      23   3.0012512477233013E-09
      23      24   3.9747276533991176E-10
      23      25  -2.3850695920194610E-14
      23      26   2.7904725580783387E-14
      23      27   5.0802305293272279E-15
      23      28   4.0895614239652319E-16
      24      22   1.2059107486291616E-14
      24      23   3.9747276533991176E-10
      24      24   3.0013893347908947E-09
      24      25  -4.3562677975951921E-10
      24      26  -3.2153860377787418E-14
      24      27  -3.0339340038447672E-14
      24      28   4.1532129776784444E-15
      25      22   1.8571441426664751E-14
      25      23  -2.3850695920194610E-14
      25      24  -4.3562677975951921E-10
      25      25   2.9989230577693733E-09
      25      26   4.3567298144762655E-10
      25      27  -3.3065490843055854E-14
      25      28   2.3914479860368247E-14
      26      22  -3.6371679672447592E-15
      26      23   2.7904725580783387E-14
      26      24  -3.2153860377787418E-14
      26      25   4.3567298144762655E-10
      26      26   2.9938455916846554E-09
      26      27  -3.9760240171519234E-10
      26      28  -2.4737005217238094E-14
      27      22   3.6434907366410391E-16
      27      23   5.0802305293272279E-15
      27      24  -3.0339340038447672E-14
      27      25  -3.3065490843055854E-14
      27      26  -3.9760240171519234E-10
      27      27   2.9861519052055480E-09
      27      28   3.0778129344363003E-10
      28      22   1.2997982248858983E-17
      28      23   4.0895614239652319E-16
      28      24   4.1532129776784444E-15
      28      25   2.3914479860368247E-14
      28      26  -2.4737005217238094E-14
      28      27   3.0778129344363003E-10
      28      28   2.9758379182165074E-09
      29      29   3.0824878312684656E-09
      29      30  -3.2863441207374664E-10
      29      31  -1.5881869625824313E-14
      29      32   2.5234737091229289E-14
      29      33   4.7168424151405315E-15
      29      34   5.7290181043414247E-16
      29      35  -3.1593816612371980E-17
      30      29  -3.2863441207374664E-10
      30      30   3.0865643730273706E-09
      30      31   4.3076503843060685E-10
      30      32   3.1995619872176288E-14
      30      33   4.0345669742618589E-14
      30      34  -7.5205156004269009E-15
      30      35   8.5242014450102559E-16
      30      36   3.6180020497163863E-17
      31      29  -1.5881869625824313E-14
      31      30   4.3076503843060685E-10
      31      31   3.0880441841879617E-09
      31      32   4.8195234380443913E-10
      31      33  -4.6072290622897291E-14
      31      34   4.8476229248577843E-14
      31      35   8.0038436830370447E-15
      31      36   7.2081048136057659E-16
      32      29   2.5234737091229289E-14
      32      30   3.1995619872176288E-14
      32      31   4.8195234380443913E-10
      32      32   3.0869200074230761E-09
      32      33  -4.9791158707613506E-10
      32      34  -5.3568156389251142E-14
      32      35  -4.7535618146190181E-14
      32      36   5.6715304112539425E-15
      33      29   4.7168424151405315E-15
      33      30   4.0345669742618589E-14
      33      31  -4.6072290622897291E-14
      33      32  -4.9791158707613506E-10
      33      33   3.0831841676880528E-09
      33      34   4.8205834825437219E-10
      33      35  -5.1289565787078626E-14
      33      36   3.5148661071059639E-14
      34      29   5.7290181043414247E-16
      34      30  -7.5205156004269009E-15
      34      31   4.8476229248577843E-14
      34      32  -5.3568156389251142E-14
      34      33   4.8205834825437219E-10
      34      34   3.0768297607867825E-09
      34      35  -4.3096167133455844E-10
      34      36  -3.7613483899177405E-14
      35      29  -3.1593816612371980E-17
      35      30   8.5242014450102559E-16
      35      31   8.0038436830370447E-15
      35      32  -4.7535618146190181E-14
      35      33  -5.1289565787078626E-14
      35      34  -4.3096167133455844E-10
