#    row  column                    value
       1       1  -1.0033078093273344E+01
       2       2  -8.8441851009709922E+01
       2       3   2.7197979511367681E-01
       3       2   2.7197979511367681E-01
       3       3   6.7570442095626490E+01
       4       4  -1.6683978462286433E+02
       4       5   3.8083721938062537E-01
       4       6   3.5347001129142829E-06
       5       4   3.8083721938062537E-01
       5       5  -1.0832976326929577E+01
       5       6  -3.8087340930971053E-01
       6       4   3.5347001129142829E-06
       6       5  -3.8087340930971053E-01
       6       6   1.4518451452322410E+02
       7       7  -2.4522687195452480E+02
       7       8  -4.6173277988494832E-01
       7       9   7.6163625197487260E-06
       7      10  -6.8693610974767987E-06
       8       7  -4.6173277988494832E-01
       8       8  -8.9225548905132783E+01
       8       9   5.3331518764271491E-01
       8      10   9.3740387099393342E-06
       9       7   7.6163625197487260E-06
       9       8   5.3331518764271491E-01
       9       9   6.6786464809057890E+01
       9      10  -4.6182381454430410E-01
      10       7  -6.8693610974767987E-06
      10       8   9.3740387099393342E-06
      10       9  -4.6182381454430410E-01
      10      10   2.2280917136451984E+02
      11      11  -3.2360310226789244E+02
      11      12  -5.2769317644557778E-01
      11      13   1.2460854901228494E-05
      11      14  -1.5210782161830945E-05
      11      15  -2.6682176445632576E-06
      12      11  -5.2769317644557778E-01
      12      12  -1.6760726389822958E+02
      12      13   6.4660052362889553E-01
      12      14   2.0643672851842106E-05
      12      15   1.6601694851997832E-05
      13      11   1.2460854901228494E-05
      13      12   6.4660052362889553E-01
      13      13  -1.1600733368522807E+01
      13      14  -6.4666548591741568E-01
      13      15   1.8441469920171072E-05
      14      11  -1.5210782161830945E-05
      14      12   2.0643672851842106E-05
      14      13  -6.4666548591741568E-01
      14      14   1.4441650533378439E+02
      14      15   5.2785612055071940E-01
      15      11  -2.6682176445632576E-06
      15      12   1.6601694851997832E-05
      15      13   1.8441469920171072E-05
      15      14   5.2785612055071940E-01
      15      15   3.0044445103770636E+02
      16      16  -4.0196846318936929E+02
      16      17  -5.8380840762525932E-01
      16      18   1.8129394627292157E-05
      16      19  -2.5798451519461932E-05
      16      20  -5.0828104812827134E-06
      16      21  -3.6018963721298861E-07
      17      16  -5.8380840762525932E-01
      17      17  -2.4597810982097209E+02
      17      18   7.3897121341869243E-01
      17      19   3.3993003984586598E-05
      17      20   3.5005888585957047E-05
      17      21  -5.4550187859226850E-06
      18      16   1.8129394627292157E-05
      18      17   7.3897121341869243E-01
      18      18  -8.9977064956254964E+01
      18      19  -7.8402911220269855E-01
      18      20   4.0340310403891687E-05
      18      21  -3.0629285259529364E-05
      19      16  -2.5798451519461932E-05
      19      17   3.3993003984586598E-05
      19      18  -7.8402911220269855E-01
      19      19   6.6034695600712070E+01
      19      20   7.3912517861773697E-01
      19      21   3.1802049946362406E-05
      20      16  -5.0828104812827134E-06
      20      17   3.5005888585957047E-05
      20      18   4.0340310403891687E-05
      20      19   7.3912517861773697E-01
      20      20   2.2205718276706446E+02
      20      21  -5.8406111092933544E-01
      21      16  -3.6018963721298861E-07
      21      17  -5.4550187859226850E-06
      21      18  -3.0629285259529364E-05
      21      19   3.1802049946362406E-05
      21      20  -5.8406111092933544E-01
      21      21   3.7809039752252761E+02
      22      22  -4.8032294224010155E+02
      22      23  -6.3270784181937711E-01
      22      24  -2.4804164764546362E-05
      22      25  -3.8199280521363399E-05
      22      26   7.4812266994540198E-06
      22      27  -7.4943122199998491E-07
      22      28  -2.6739403952754172E-08
      23      22  -6.3270784181937711E-01
      23      23  -3.2433807577179670E+02
      23      24  -8.1755477439641866E-01
      23      25   4.9058073674386372E-05
      23      26  -5.7396741066601663E-05
      23      27  -1.0449441490073288E-05
      23      28  -8.4117985427650815E-07
      24      22  -2.4804164764546362E-05
      24      23  -8.1755477439641866E-01
      24      24  -1.6834251770775199E+02
      24      25   8.9603309888376292E-01
      24      26   6.6136710721009001E-05
      24      27   6.2404459639576638E-05
      24      28  -8.5426724699700394E-06
      25      22  -3.8199280521363399E-05
      25      23   4.9058073674386372E-05
      25      24   8.9603309888376292E-01
      25      25  -1.2336240894157401E+01
      25      26  -8.9612813032374428E-01
      25      27   6.8011825180170013E-05
      25      28  -4.9189282019122227E-05
      26      22   7.4812266994540198E-06
      26      23  -5.7396741066601663E-05
      26      24   6.6136710721009001E-05
      26      25  -8.9612813032374428E-01
      26      26   1.4368077424316408E+02
      26      27   8.1782142118554180E-01
      26      28   5.0881109586282665E-05
      27      22  -7.4943122199998491E-07
      27      23  -1.0449441490073288E-05
      27      24   6.2404459639576638E-05
      27      25   6.8011825180170013E-05
      27      26   8.1782142118554180E-01
      27      27   2.9970853823286666E+02
      27      28  -6.3306995565294033E-01
      28      22  -2.6739403952754172E-08
      28      23  -8.4117985427650815E-07
      28      24  -8.5426724699700394E-06
      28      25  -4.9189282019122227E-05
      28      26   5.0881109586282665E-05
      28      27  -6.3306995565294033E-01
      28      28   4.5574705946111703E+02
      29      29  -5.5866652792284401E+02
      29      30   6.7596237038821383E-01
      29      31   3.2667140977119814E-05
      29      32  -5.1904889789785428E-05
      29      33  -9.7019896000101805E-06
      29      34  -1.1783908845756620E-06
      29      35   6.4984855808668879E-08
      29      36  -1.9986407314809078E-09
      30      29   6.7596237038821383E-01
      30      30  -4.0268715188248706E+02
      30      31  -8.8603306823673889E-01
      30      32  -6.5811229423972127E-05
      30      33  -8.2986304055102583E-05
      30      34   1.5468816193635598E-05
      30      35  -1.7533264030370365E-06
      30      36  -7.4418505018398724E-08
      31      29   3.2667140977119814E-05
      31      30  -8.8603306823673889E-01
      31      31  -2.4669708181037416E+02
      31      32  -9.9131934077090855E-01
      31      33   9.4765287329393004E-05
      31      34  -9.9709911491985991E-05
      31      35  -1.6462966351280581E-05
      31      36  -1.4826213521186780E-06
      32      29  -5.1904889789785428E-05
      32      30  -6.5811229423972127E-05
      32      31  -9.9131934077090855E-01
      32      32  -9.0696291558145433E+01
      32      33   1.0241456289324149E+00
      32      34   1.1018340435583320E-04
      32      35   9.7775183799029468E-05
      32      36  -1.1665671186285313E-05
      33      29  -9.7019896000101805E-06
      33      30  -8.2986304055102583E-05
      33      31   9.4765287329393004E-05
      33      32   1.0241456289324149E+00
      33      33   6.5315243333166947E+01
      33      34  -9.9153737946622034E-01
      33      35   1.0549661073488715E-04
      33      36  -7.2296666053099312E-05
      34      29  -1.1783908845756620E-06
      34      30   1.5468816193635598E-05
      34      31  -9.9709911491985991E-05
      34      32   1.1018340435583320E-04
      34      33  -9.9153737946622034E-01
      34      34   2.2133754085124977E+02
      34      35   8.8643751901402568E-01
      34      36   7.7366516996369154E-05
      35      29   6.4984855808668879E-08
      35      30  -1.7533264030370365E-06
      35      31  -1.6462966351280581E-05
      35      32   9.7775183799029468E-05
      35      33   1.0549661073488715E-04
      35      34   8.8643751901402568E-01
      35      35   3.7737061570006557E+02
      35      36  -6.7645565949025166E-01
      36      29  -1.9986407314809078E-09
      36      30  -7.4418505018398724E-08
      36      31  -1.4826213521186780E-06
      36      32  -1.1665671186285313E-05
      36      33  -7.2296666053099312E-05
      36      34   7.7366516996369154E-05
      36      35  -6.7645565949025166E-01
      36      36   5.3341448913896556E+02
      37      37  -6.3699921046553357E+02
      37      38  -7.1459963766165324E-01
      37      39   4.1821558247469971E-05
      37      40  -6.6402805380199548E-05
      37      41  -1.1655761012711606E-05
      37      42  -1.6032230390704729E-06
      37      43  -1.1404842881652260E-07
      37      44  -1.2357469394266158E-09
      37      45  -2.2211837434985154E-09
      38      37  -7.1459963766165324E-01
      38      38  -4.8102532973671396E+02
      38      39   9.4660583353729422E-01
      38      40   8.4351682972164547E-05
      38      41   1.1086832794795652E-04
      38      42  -2.0173161896354038E-05
      38      43  -2.7687974106530283E-06
      38      44   1.7402094660480287E-07
      38      45  -7.2812486770288940E-10
      39      37   4.1821558247469971E-05
      39      38   9.4660583353729422E-01
      39      39  -3.2504074963679142E+02
      39      40  -1.0743518871196704E+00
      39      41   1.2574389776878972E-04
      39      42  -1.4138978623999261E-04
      39      43   2.4520887317778944E-05
      39      44  -3.1020635411536688E-06
      39      45  -1.4809117712155958E-07
      40      37  -6.6402805380199548E-05
      40      38   8.4351682972164547E-05
      40      39  -1.0743518871196704E+00
      40      40  -1.6904544751121006E+02
      40      41   1.1330547086009883E+00
      40      42   1.5642377544384901E-04
      40      43  -1.5315804814831880E-04
      40      44  -2.2624693838436486E-05
      40      45  -2.2609953240131972E-06
      41      37  -1.1655761012711606E-05
      41      38   1.1086832794795652E-04
      41      39   1.2574389776878972E-04
      41      40   1.1330547086009883E+00
      41      41  -1.3039397488896407E+01
      41      42  -1.1331815997810062E+00
      41      43  -1.6803857296893612E-04
      41      44  -1.4113418528915130E-04
      41      45   1.4571320021095962E-05
      42      37  -1.6032230390704729E-06
      42      38  -2.0173161896354038E-05
      42      39  -1.4138978623999261E-04
      42      40   1.5642377544384901E-04
      42      41  -1.1331815997810062E+00
      42      42   1.4297742345875383E+02
      42      43  -1.0747214657519057E+00
      42      44   1.5504196654306430E-04
      42      45  -9.9777818440437835E-05
      43      37  -1.1404842881652260E-07
      43      38  -2.7687974106530283E-06
      43      39   2.4520887317778944E-05
      43      40  -1.5315804814831880E-04
      43      41  -1.6803857296893612E-04
      43      42  -1.0747214657519057E+00
      43      43   2.9900503525336512E+02
      43      44   9.4717538208671548E-01
      43      45   1.1310672415641091E-04
      44      37  -1.2357469394266158E-09
      44      38   1.7402094660480287E-07
      44      39  -3.1020635411536688E-06
      44      40  -2.2624693838436486E-05
      44      41  -1.4113418528915130E-04
      44      42   1.5504196654306430E-04
      44      43   9.4717538208671548E-01
      44      44   4.5504346130628795E+02
      44      45  -7.1524777560407515E-01
      45      37  -2.2211837434985154E-09
      45      38  -7.2812486770288940E-10
      45      39  -1.4809117712155958E-07
      45      40  -2.2609953240131972E-06
      45      41   1.4571320021095962E-05
      45      42  -9.9777818440437835E-05
      45      43   1.1310672415641091E-04
      45      44  -7.1524777560407515E-01
      45      45   6.1109274141070466E+02
      46      46  -7.1532098229519750E+02
      46      47  -7.4933500446653478E-01
      46      48  -5.2249835904907088E-05
      46      49  -8.1215462063125759E-05
      46      50   1.3315379412267207E-05
      46      51  -1.9874272296738446E-06
      46      52  -1.6863382577015674E-07
      46      53   1.6997476705849575E-09
      46      54  -3.5561095084831949E-09
      46      55  -1.1966477312353268E-09
      47      46  -7.4933500446653478E-01
      47      47  -5.5935260269424941E+02
      47      48  -1.0007121641234888E+00
      47      49   1.0475551854232898E-04
      47      50  -1.4013441771708551E-04
      47      51  -2.4362078890212120E-05
      47      52  -3.7892502358188724E-06
      47      53   2.9999095446377753E-07
      47      54   3.5660054002701079E-09
      47      55  -3.6659046498765877E-09
      48      46  -5.2249835904907088E-05
      48      47  -1.0007121641234888E+00
      48      48  -4.0337351558850384E+02
      48      49   1.1477978248655005E+00
      48      50   1.5890569991227160E-04
      48      51   1.8615895681744387E-04
      48      52  -3.2168225145846785E-05
      48      53   4.9256703783595308E-06
      48      54   3.4060407059834811E-07
      48      55   3.9715490214378969E-09
      49      46  -8.1215462063125759E-05
      49      47   1.0475551854232898E-04
      49      48   1.1477978248655005E+00
      49      49  -2.4738370296136608E+02
      49      50  -1.2279572857686558E+00
      49      51   2.0563444267806381E-04
      49      52  -2.1378058611642897E-04
      49      53  -3.3913737686845540E-05
      49      54  -4.7530676661590911E-06
      49      55  -2.4776858360064615E-07
      50      46   1.3315379412267207E-05
      50      47  -1.4013441771708551E-04
      50      48   1.5890569991227160E-04
      50      49  -1.2279572857686558E+00
      50      50  -9.1383140274091105E+01
      50      51   1.2536824434028999E+00
      50      52   2.3581243952137815E-04
      50      53   2.1772453129995654E-04
      50      54  -2.8450001856067011E-05
      50      55  -3.1441106769698606E-06
      51      46  -1.9874272296738446E-06
      51      47  -2.4362078890212120E-05
      51      48   1.8615895681744387E-04
      51      49   2.0563444267806381E-04
      51      50   1.2536824434028999E+00
      51      51   6.4628197990881603E+01
      51      52  -1.2282423057001572E+00
      51      53   2.4210708549387544E-04
      51      54  -1.9219827639380984E-04
      51      55   1.7035927270102132E-05
      52      46  -1.6863382577015674E-07
      52      47  -3.7892502358188724E-06
      52      48  -3.2168225145846785E-05
      52      49  -2.1378058611642897E-04
