#    row  column                    value
       1       2  -5.5947426798600770E+02
       1       3  -5.5465666288085640E+02
       2       4   7.8336651683512082E+02
       2       5   5.5471371577447053E+02
       2       6   1.6891603016625867E-04
       3       4  -3.8383045999497212E-04
       3       5   5.5941698973735936E+02
       3       6  -7.7672741535290777E+02
       4       7   9.4971572521991220E+02
       4       8  -5.5477076535633375E+02
       4       9   2.0383769259819798E-04
       4      10   5.1232899263157354E-05
       5       7  -7.3455846349024332E-04
       5       8  -7.8328629335916037E+02
       5       9  -7.7680738759184942E+02
       5      10  -1.3218753330567759E-04
       6       7   4.3366872892914049E-05
       6       8  -5.6210680186853581E-04
       6       9   5.5935970971377697E+02
       6      10  -9.4179602828692168E+02
       7      11   1.0853142475684217E+03
       7      12  -5.5482781517480475E+02
       7      13   2.0914320359725262E-04
       7      14   8.5053332293025561E-05
       7      15   4.7884240413269404E-06
       8      11   1.1809705752030223E-03
       8      12   9.4961840362131147E+02
       8      13   7.7688734428840428E+02
       8      14   1.3362707199261289E-04
       8      15  -1.1578694512404110E-04
       9      11   1.1601007458295518E-04
       9      12  -1.1041644264569528E-03
       9      13   7.8320606290972103E+02
       9      14  -9.4189309367377837E+02
       9      15  -6.7312136706162973E-05
      10      11  -1.7061437726245477E-05
      10      12   8.8657973553404046E-05
      10      13   7.0829633243030970E-04
      10      14   5.5930243570152061E+02
      10      15   1.0764117511262068E+03
      11      16  -1.2006286859517888E+03
      11      17   5.5488486443618478E+02
      11      18  -2.0204744102556913E-04
      11      19  -1.1518871487322454E-04
      11      20  -8.5798162449171398E-06
      11      21  -8.0840568342289479E-07
      12      16  -1.7357675702177773E-03
      12      17  -1.0852029473874436E+03
      12      18  -7.7696729116004258E+02
      12      19  -1.0024655135187076E-04
      12      20   1.9169713765163226E-04
      12      21  -8.7443741812640980E-06
      13      16  -2.1181471636711838E-04
      13      17   1.7744040347380168E-03
      13      18  -9.4952108343927114E+02
      13      19   9.4199013012845558E+02
      13      20   1.5768141980038701E-04
      13      21  -2.0021054026802282E-04
      14      16   2.9608660447372032E-05
      14      17  -2.1443297400897587E-04
      14      18  -1.4176255373520635E-03
      14      19  -7.8312583548235966E+02
      14      20  -1.0765228028623528E+03
      14      21   4.4393702098635728E-04
      15      16  -1.8979558584035814E-06
      15      17  -3.0563823549314768E-05
      15      18  -1.4240202449236896E-04
      15      19   8.3737662583835252E-04
      15      20  -5.5924517488247352E+02
      15      21   1.1909443306140838E+03
      16      22  -1.3010655689402129E+03
      16      23   5.5494191063612482E+02
      16      24   1.9098289767968378E-04
      16      25  -1.4248016553306125E-04
      16      26   1.1427837376679006E-05
      16      27  -2.2908298117731069E-06
      16      28   2.6319956454911307E-07
      17      22  -2.3945276757859836E-03
      17      23  -1.2005054724246327E+03
      17      24   7.7704723031908611E+02
      17      25  -5.2053896735876321E-05
      17      26  -2.5652638751906017E-04
      17      27  -1.3674227030548642E-05
      17      28  -2.7223137245889708E-06
      18      22  -3.2242473003131050E-04
      18      23   2.5826979533719019E-03
      18      24   1.0850916636282193E+03
      18      25   9.4208714208758636E+02
      18      26  -2.6343320170720133E-04
      18      27  -3.2674209610113127E-04
      18      28   1.0203730954249474E-05
      19      22   4.1151102962250230E-05
      19      23  -3.7698850753563860E-04
      19      24   2.2809952805023172E-03
      19      25  -9.4942377196084055E+02
      19      26   1.0766338071407476E+03
      19      27   6.8126688810180014E-04
      19      28  -2.9929435737374141E-04
      20      22  -2.8010575305316615E-06
      20      23  -5.5249793460222438E-05
      20      24   3.2217117155146027E-04
      20      25   1.6968197651160879E-03
      20      26   7.8304562224031588E+02
      20      27   1.1910673140634922E+03
      20      28  -1.0044358330316147E-03
      21      22  -4.4044291582892421E-07
      21      23  -3.2876942901991710E-06
      21      24  -4.3638630833009281E-05
      21      25  -2.0297074552454256E-04
      21      26   9.5299699306855014E-04
      21      27  -5.5918793515335312E+02
      21      28   1.2907492445511789E+03
      22      29  -1.3898557970712470E+03
      22      30  -5.5499895074270239E+02
      22      31  -1.8054158145568809E-04
      22      32  -1.6692371458142105E-04
      22      33  -1.2713675800651275E-05
      22      34  -4.1737621371718206E-06
      22      35  -1.6917309990340303E-07
      22      36  -2.0450115985563531E-07
      23      29  -3.1438656008372441E-03
      23      30   1.3009319683965130E+03
      23      31  -7.7712716092310245E+02
      23      32  -1.7668651322317310E-06
      23      33   3.1146835832759548E-04
      23      34  -1.6414145563027614E-05
      23      35   5.8070254187151441E-06
      23      36  -9.2067182683866421E-08
      24      29   4.4094269456121127E-04
      24      30   3.5215797878047198E-03
      24      31   1.2003822922016848E+03
      24      32  -9.4218413267609549E+02
      24      33  -3.7266461871917012E-04
      24      34   4.3181461124714874E-04
      24      35   1.4185970398065862E-05
      24      36   5.2568069310503053E-06
      25      29   5.1826014786125444E-05
      25      30   5.6404964775289533E-04
      25      31  -3.2983305190761652E-03
      25      32  -1.0849804016853568E+03
      25      33  -1.0767447685715872E+03
      25      34   8.8909588299659328E-04
      25      35   4.8171406333507883E-04
      25      36  -7.6241485664820174E-06
      26      29   3.3190332758774016E-06
      26      30  -7.8420978082479061E-05
      26      31   5.4793961283649282E-04
      26      32  -2.7333713427675444E-03
      26      33   9.4932647991887097E+02
      26      34  -1.1911902266983579E+03
      26      35  -1.4393794800119982E-03
      26      36   4.0581122936293002E-04
      27      29  -5.0519316484036121E-07
      27      30   5.5346542509689722E-06
      27      31   8.1033911104852379E-05
      27      32  -4.3884883992946185E-04
      27      33  -1.9474994187335946E-03
      27      34  -7.8296543460799307E+02
      27      35  -1.2908826391754299E+03
      27      36   1.7459660885732406E-03
      28      29  -1.9339682988644146E-07
      28      30   6.3069266869464212E-07
      28      31   4.5937053096554250E-06
      28      32   5.6201341362547495E-05
      28      33   2.6914357376040036E-04
      28      34  -1.0555077288036591E-03
      28      35   5.5913072525183100E+02
      28      36  -1.3790262226000325E+03
      29      37   1.4691143037397544E+03
      29      38  -5.5505598168916151E+02
      29      39   1.7342706276697587E-04
      29      40   1.8808801340040795E-04
      29      41   1.2169671089734159E-05
      29      42   6.0885793868768646E-06
      29      43   1.8348308581426682E-07
      29      44   2.9677851828422795E-07
      29      45   9.0129855434653624E-08
      30      37  -3.9656436753744443E-03
      30      38  -1.3897130162747335E+03
      30      39  -7.7720708022961287E+02
      30      40   4.2158936594268970E-05
      30      41   3.5714482109423454E-04
      30      42  -1.6570612901538097E-05
      30      43  -9.3405781831432665E-06
      30      44   2.3136551480518340E-07
      30      45  -2.8700117053379929E-07
      31      37   5.6196386475744530E-04
      31      38  -4.5733896059078549E-03
      31      39   1.3007984176782572E+03
      31      40  -9.4228110282484693E+02
      31      41  -4.7436806950912949E-04
      31      42   5.1759806003613803E-04
      31      43  -1.4582867808953941E-05
      31      44   1.0255768173483703E-05
      31      45   4.0181055561711170E-07
      32      37  -6.1737662391519560E-05
      32      38   7.6434379438138403E-04
      32      39   4.4561766328254631E-03
      32      40   1.2002591508235532E+03
      32      41   1.0768556909061999E+03
      32      42  -1.0741588397321987E-03
      32      43   6.2971560103641311E-04
      32      44   8.0846975811170204E-06
      32      45   7.8698081728747174E-06
      33      37   3.6775192202801839E-06
      33      38   9.9566580547632511E-05
      33      39   8.0526828381084791E-04
      33      40  -3.9343088665113185E-03
      33      41   1.0848691703192455E+03
      33      42  -1.1913130753272899E+03
      33      43   1.7744066092136817E-03
      33      44   6.4632980647090401E-04
      33      45  -3.3955104324896688E-07
      34      37   3.2535995660124733E-07
      34      38   7.3096969665212114E-06
      34      39  -1.1697467696057533E-04
      34      40   7.2621491844726083E-04
      34      41   3.1393975115757704E-03
      34      42   9.4922921938345053E+02
      34      43  -1.2910159378064534E+03
      34      44  -2.4246716988032763E-03
      34      45   5.1199497315906342E-04
      35      37  -2.7259756054300951E-07
      35      38  -7.8606422744582956E-07
      35      39   8.5416094348087858E-06
      35      40   1.0606371057137582E-04
      35      41   5.6322375007096233E-04
      35      42  -2.1709406574110558E-03
